Myco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,,,,,,,,,,,,,,,,,PA+DBP,,,,,,,,,,,,,,,
,,0,0,0,0.02,0.02,0.02,0.1,0.1,0.1,0.4,0.4,0.4,1.6,1.6,1.6,,,0,0,0,0.02,0.02,0.02,0.1,0.1,0.1,0.4,0.4,0.4,1.6,1.6,1.6
,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
,1,0.027,0.018,0.018,0.021,0.025,0.022,0.005,0.004,0.006,0.004,0.005,0.006,0.007,0.008,0.010,,1,0.011,0.012,0.014,0.005,0.004,0.010,0.010,0.005,0.007,0.006,0.006,0.005,0.012,0.007,0.007
,2,0.053,0.047,0.050,0.047,0.042,0.050,0.006,0.007,0.007,0.007,0.006,0.008,0.007,0.007,0.009,,2,0.043,0.041,0.040,0.005,0.007,0.009,0.010,0.004,0.007,0.011,0.008,0.009,0.011,0.009,0.010
,3,0.110,0.097,0.091,0.090,0.093,0.120,0.005,0.005,0.006,0.007,0.005,0.006,0.009,0.010,0.012,,3,0.090,0.077,0.120,0.007,0.009,0.009,0.008,0.010,0.010,0.010,0.005,0.005,0.012,0.015,0.012
,4,0.253,0.221,0.200,0.254,0.290,0.222,0.007,0.009,0.009,0.008,0.010,0.011,0.012,0.015,0.011,,4,0.201,0.197,0.222,0.005,0.005,0.006,0.011,0.007,0.015,0.008,0.011,0.012,0.007,0.006,0.008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA % w/v,,,,,,,,,,,,,,,,,PA+DBP,,,,,,,,,,,,,,,
,,0,0,0,0.02,0.02,0.02,0.1,0.1,0.1,0.4,0.4,0.4,1.6,1.6,1.6,,,0,0,0,0.02,0.02,0.02,0.1,0.1,0.1,0.4,0.4,0.4,1.6,1.6,1.6
Days,0,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,0,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
,1,1.020,1.110,1.130,0.018,0.015,0.015,0.009,0.010,0.011,0.008,0.010,0.010,0.010,0.012,0.010,,1,0.953,1.011,0.899,0.010,0.011,0.008,0.009,0.012,0.012,0.010,0.012,0.012,0.010,0.013,0.014
,2,1.540,1.680,1.590,0.030,0.022,0.027,0.007,0.009,0.010,0.008,0.009,0.009,0.010,0.010,0.009,,2,1.520,1.513,1.680,0.013,0.010,0.012,0.009,0.013,0.010,0.008,0.009,0.011,0.009,0.010,0.011
,3,1.480,1.320,1.410,1.320,1.010,0.980,0.009,0.012,0.011,0.010,0.011,0.015,0.012,0.009,0.013,,3,1.490,1.510,1.440,0.012,0.014,0.007,0.008,0.009,0.009,0.011,0.007,0.013,0.010,0.011,0.015
,4,1.390,1.420,1.280,1.540,1.480,1.510,0.010,0.010,0.010,0.008,0.012,0.014,0.013,0.010,0.014,,4,1.400,1.350,1.490,0.009,0.012,0.011,0.010,0.009,0.010,0.010,0.014,0.014,0.009,0.008,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,